ngram,frequency
"('journal', 'notes')",8
"('journal', 'using')",8
"('journals', 'different')",8
"('keep', 'using')",8
"('let', 'us')",8
"('like', 'photos')",8
"('like', 'simple')",8
"('like', 'write')",8
"('looks', 'like')",8
"('love', 'add')",8
"('love', 'concept')",8
"('love', 'could')",8
"('love', 'journaling')",8
"('love', 'new')",8
"('loving', 'app')",8
"('many', 'people')",8
"('maybe', 'even')",8
"('multiple', 'entries')",8
"('need', 'search')",8
"('needs', 'options')",8
"('one', 'star')",8
"('photos', 'app')",8
"('prompts', 'write')",8
"('put', 'thoughts')",8
"('really', 'wish')",8
"('search', 'keywords')",8
"('see', 'journal')",8
"('separate', 'journals')",8
"('simple', 'app')",8
"('specific', 'date')",8
"('start', 'new')",8
"('start', 'writing')",8
"('text', 'editor')",8
"('top', 'entry')",8
"('top', 'page')",8
"('use', 'keyboard')",8
"('wait', 'see')",8
"('wan', 'na')",8
"('waste', 'time')",8
"('way', 'journal')",8
"('well', 'would')",8
"('within', 'app')",8
"('wont', 'let')",8
"('ability', 'tag')",7
"('able', 'see')",7
"('also', 'love')",7
"('also', 'think')",7
"('app', 'able')",7
"('app', 'features')",7
"('app', 'isnt')",7
"('app', 'need')",7
"('app', 'search')",7
"('app', 'seems')",7
"('app', 'super')",7
"('app', 'theres')",7
"('app', 'way')",7
"('app', 'works')",7
"('appeared', 'phone')",7
"('apple', 'really')",7
"('better', 'app')",7
"('bold', 'italics')",7
"('cant', 'get')",7
"('could', 'get')",7
"('daily', 'journal')",7
"('different', 'fonts')",7
"('different', 'types')",7
"('doesnt', 'make')",7
"('dont', 'care')",7
"('dont', 'really')",7
"('dont', 'see')",7
"('end', 'day')",7
"('end', 'page')",7
"('entries', 'could')",7
"('entries', 'journal')",7
"('entries', 'like')",7
"('entry', 'able')",7
"('etc', 'would')",7
"('ever', 'since')",7
"('export', 'journal')",7
"('far', 'good')",7
"('far', 'ive')",7
"('forward', 'app')",7
"('forward', 'seeing')",7
"('good', 'journal')",7
"('got', 'app')",7
"('great', 'able')",7
"('hope', 'app')",7
"('hope', 'see')",7
"('idea', 'journal')",7
"('im', 'able')",7
"('im', 'excited')",7
"('ios', 'app')",7
"('ipad', 'iphone')",7
"('journal', 'write')",7
"('journaling', 'suggestions')",7
"('journaling', 'would')",7
"('key', 'features')",7
